Timestamp,gender,grade_finance_knowledge,grade_financial_situation,grade_behavioral_economics_knowledge,rate_purchasing_power,rate_how_rational,Please select the three major aspects of your spending,Going to Starbucks with a friend and ended up getting a drink anyways even if you didnt want one.,Making a list of things you want to buy as discount season approaching.,Buy something because  on sale,Do you make unnecessary purchase?,Have you made a purchase that you regret very much?,Go to a mall with a friend and ended up also getting something for yourself.,Shop because of an occasion,Have you spend a lot of money because you just experienced something really bad?,Have you spend a lot of money because you just experienced something really great?,Do you consider yourself a loyal customer to one or certain brands?
2018/11/02 10:44:36 PM EST,Female,5,5,2,3,3,"Food(groceries, restaurants, etc.);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Maybe,No,No,No,Maybe,Maybe,No,Maybe,No,Maybe
2018/11/02 11:06:45 PM EST,Male,4,4,3,3,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",No,No,No,Maybe,No,Maybe,No,Maybe,Maybe,No
2018/11/02 11:08:06 PM EST,Male,4,4,3,4,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",Yes,Maybe,No,Maybe,Yes,No,No,No,Maybe,Yes
2018/11/02 11:43:00 PM EST,Male,3,1,3,4,2,"Food(groceries, restaurants, etc.);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,No,Maybe,Maybe
2018/11/03 12:00:50 AM EST,Female,4,3,5,3,5,"Education(Tuition, textbooks, online courses);Travelling;Living costs(rent, car, water, electrics fee, etc.)",Maybe,No,Maybe,Maybe,Yes,Maybe,Yes,No,Yes,Yes
2018/11/03 12:32:26 AM EST,Female,4,4,4,3,4,"Food(groceries, restaurants, etc.);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",No,Yes,No,Maybe,No,Maybe,Yes,Maybe,Maybe,Yes
2018/11/03 1:57:31 AM EST,Male,3,3,4,3,1,"Education(Tuition, textbooks, online courses);Clothing and Accessories;Entertainment(movies, video games, concerts)",Yes,No,Maybe,Yes,No,No,Yes,No,Yes,Maybe
2018/11/03 3:31:03 AM EST,Female,4,3,5,2,5,"Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",Yes,No,No,No,Yes,Maybe,No,Maybe,Maybe,Maybe
2018/11/03 7:26:40 AM EST,Female,3,4,3,3,3,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Travelling;Living costs(rent, car, water, electrics fee, etc.)",Yes,Yes,No,No,No,No,Yes,No,Maybe,Yes
2018/11/03 7:28:18 AM EST,Male,4,4,3,4,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",Maybe,Maybe,Yes,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes
2018/11/03 9:50:56 AM EST,Female,2,3,4,3,3,"Food(groceries, restaurants, etc.);Travelling;Clothing and Accessories",Yes,Yes,Yes,Maybe,Maybe,,No,No,Yes,No
2018/11/03 9:52:25 AM EST,Female,3,2,3,2,3,"Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
2018/11/03 9:59:52 AM EST,Female,5,5,5,2,3,Travelling,Yes,Yes,No,Yes,No,Maybe,,Yes,Maybe,No
2018/11/03 10:35:54 AM EST,Female,2,2,3,4,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2018/11/03 10:39:55 AM EST,Male,4,4,4,3,3,"Food(groceries, restaurants, etc.);Travelling;Living costs(rent, car, water, electrics fee, etc.)",Yes,No,Yes,Maybe,Maybe,No,Yes,Maybe,No,No
2018/11/03 11:49:06 AM EST,Female,3,2,3,2,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
2018/11/03 12:05:13 PM EST,Male,3,4,3,5,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",Yes,Yes,Yes,Yes,No,Maybe,No,No,No,No
2018/11/03 1:36:13 PM EST,Male,5,5,2,2,5,"Food(groceries, restaurants, etc.);Travelling;Living costs(rent, car, water, electrics fee, etc.)",No,No,No,No,Yes,No,Maybe,Yes,No,Yes
2018/11/03 3:09:01 PM EST,Female,3,3,1,3,5,"Education(Tuition, textbooks, online courses);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Maybe,Maybe,Yes,Yes,No,Maybe,Yes,No,Yes,Yes
2018/11/03 3:14:14 PM EST,Male,5,3,3,1,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",No,No,Yes,Maybe,Yes,No,No,No,Maybe,Yes
2018/11/03 4:01:42 PM EST,Male,5,5,5,5,5,"Food(groceries, restaurants, etc.);Travelling",No,Maybe,Maybe,No,No,Maybe,Yes,No,Maybe,No
2018/11/03 5:10:40 PM EST,Female,2,3,2,3,3,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Entertainment(movies, video games, concerts)",Yes,Yes,Yes,Maybe,No,Yes,Yes,No,No,Maybe
2018/11/04 7:58:35 AM EST,Female,2,4,1,4,3,"Food(groceries, restaurants, etc.);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",No,Yes,No,Yes,No,Yes,No,No,No,Yes
2018/11/04 9:32:35 AM EST,Female,3,3,3,3,2,"Food(groceries, restaurants, etc.);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Maybe,No,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Maybe
2018/11/04 4:01:52 PM EST,Female,2,4,3,3,3,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Clothing and Accessories",Maybe,No,Yes,Yes,Maybe,Maybe,Yes,No,Yes,No
2018/11/04 6:00:25 PM EST,Male,4,4,3,3,3,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Travelling",Yes,Maybe,Maybe,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe
2018/11/05 10:43:20 AM EST,Female,3,4,3,3,5,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Clothing and Accessories",No,Yes,Yes,No,No,No,No,No,No,No
2018/11/05 10:43:35 AM EST,Male,3,4,3,4,2,"Food(groceries, restaurants, etc.);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",No,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes
2018/11/05 2:17:45 PM EST,Female,4,5,4,2,3,"Food(groceries, restaurants, etc.)",Maybe,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,Yes,Yes
